value,date
1184119703,2024-12-05T07:00:00.000Z
1184157914,2024-12-05T06:00:00.000Z
1184195020,2024-12-05T05:00:00.000Z
1184189181,2024-12-05T04:00:00.000Z
1184183985,2024-12-05T03:00:00.000Z
1184048240,2024-12-05T02:00:00.000Z
1184012030,2024-12-05T01:00:00.000Z
1183938457,2024-12-05T00:00:00.000Z
1183899149,2024-12-04T23:00:00.000Z
1183830644,2024-12-04T22:00:00.000Z
1183877713,2024-12-04T21:00:00.000Z
1183890153,2024-12-04T20:00:00.000Z
1183836163,2024-12-04T19:00:00.000Z
1184023854,2024-12-04T18:00:00.000Z
1184029526,2024-12-04T17:00:00.000Z
1182298233,2024-12-04T16:00:00.000Z
1181953510,2024-12-04T15:00:00.000Z
1182103453,2024-12-04T14:00:00.000Z
1182339599,2024-12-04T13:00:00.000Z
1182628029,2024-12-04T12:00:00.000Z
1182672907,2024-12-04T11:00:00.000Z
1182840772,2024-12-04T10:00:00.000Z
1182977669,2024-12-04T09:00:00.000Z
1182979917,2024-12-04T08:00:00.000Z
1182981459,2024-12-04T07:00:00.000Z
1182361043,2024-12-04T06:00:00.000Z
1182425304,2024-12-04T05:00:00.000Z
1186140682,2024-12-04T04:00:00.000Z
1186094264,2024-12-04T03:00:00.000Z
1186215496,2024-12-04T02:00:00.000Z
1186163789,2024-12-04T01:00:00.000Z
1186035742,2024-12-04T00:00:00.000Z
1186227818,2024-12-03T23:00:00.000Z
1186098279,2024-12-03T22:00:00.000Z
1185906776,2024-12-03T21:00:00.000Z
1185407317,2024-12-03T20:00:00.000Z
1185328574,2024-12-03T19:00:00.000Z
1185282719,2024-12-03T18:00:00.000Z
1185290624,2024-12-03T17:00:00.000Z
1185310614,2024-12-03T16:00:00.000Z
1185155683,2024-12-03T15:00:00.000Z
1189205429,2024-12-03T14:00:00.000Z
1190310911,2024-12-03T13:00:00.000Z
1190333679,2024-12-03T12:00:00.000Z
1185284907,2024-12-03T11:00:00.000Z
1185303916,2024-12-03T10:00:00.000Z
1185069243,2024-12-03T09:00:00.000Z
1185145077,2024-12-03T08:00:00.000Z
1184000690,2024-12-03T07:00:00.000Z
1183562732,2024-12-03T06:00:00.000Z
1183887297,2024-12-03T05:00:00.000Z
1184037531,2024-12-03T04:00:00.000Z
1184029890,2024-12-03T03:00:00.000Z
1183995884,2024-12-03T02:00:00.000Z
1183987924,2024-12-03T01:00:00.000Z
1183945215,2024-12-03T00:00:00.000Z
1183749082,2024-12-02T23:00:00.000Z
1182230842,2024-12-02T22:00:00.000Z
1182437192,2024-12-02T21:00:00.000Z
1182448290,2024-12-02T20:00:00.000Z
1182215208,2024-12-02T19:00:00.000Z
1182168825,2024-12-02T18:00:00.000Z
1182248793,2024-12-02T17:00:00.000Z
1182229670,2024-12-02T16:00:00.000Z
1182581089,2024-12-02T15:00:00.000Z
1182858279,2024-12-02T14:00:00.000Z
1182975292,2024-12-02T13:00:00.000Z
1183219610,2024-12-02T12:00:00.000Z
1183671844,2024-12-02T11:00:00.000Z
1183337238,2024-12-02T10:00:00.000Z
1183201976,2024-12-02T09:00:00.000Z
1183055956,2024-12-02T08:00:00.000Z
1182776275,2024-12-02T07:00:00.000Z
1182765311,2024-12-02T06:00:00.000Z
1182760518,2024-12-02T05:00:00.000Z
1182869635,2024-12-02T04:00:00.000Z
1182601709,2024-12-02T03:00:00.000Z
1182528556,2024-12-02T02:00:00.000Z
1182572146,2024-12-02T01:00:00.000Z
1182587387,2024-12-02T00:00:00.000Z
1182525901,2024-12-01T23:00:00.000Z
1182547161,2024-12-01T22:00:00.000Z
1182587108,2024-12-01T21:00:00.000Z
1183325618,2024-12-01T20:00:00.000Z
1184997630,2024-12-01T19:00:00.000Z
1185314761,2024-12-01T18:00:00.000Z
1185311456,2024-12-01T17:00:00.000Z
1185796626,2024-12-01T16:00:00.000Z
1185986919,2024-12-01T15:00:00.000Z
1186018896,2024-12-01T14:00:00.000Z
1186004572,2024-12-01T13:00:00.000Z
1186080804,2024-12-01T12:00:00.000Z
1186116971,2024-12-01T11:00:00.000Z
1186106252,2024-12-01T10:00:00.000Z
1186090041,2024-12-01T09:00:00.000Z
1186055329,2024-12-01T08:00:00.000Z
1186005148,2024-12-01T07:00:00.000Z
1185975594,2024-12-01T06:00:00.000Z
1186015171,2024-12-01T05:00:00.000Z
1186057891,2024-12-01T04:00:00.000Z
1186048899,2024-12-01T03:00:00.000Z
1186465535,2024-12-01T02:00:00.000Z
1187009313,2024-12-01T01:00:00.000Z
1187188494,2024-12-01T00:00:00.000Z
1187167265,2024-11-30T23:00:00.000Z
1187154233,2024-11-30T22:00:00.000Z
1187091982,2024-11-30T21:00:00.000Z
1187097188,2024-11-30T20:00:00.000Z
1187081484,2024-11-30T19:00:00.000Z
1187063458,2024-11-30T18:00:00.000Z
1187069727,2024-11-30T17:00:00.000Z
1187127950,2024-11-30T16:00:00.000Z
1187157533,2024-11-30T15:00:00.000Z
1187263692,2024-11-30T14:00:00.000Z
1187374380,2024-11-30T13:00:00.000Z
1187512423,2024-11-30T12:00:00.000Z
1187552772,2024-11-30T11:00:00.000Z
1187769428,2024-11-30T10:00:00.000Z
1187743274,2024-11-30T09:00:00.000Z
1187817000,2024-11-30T08:00:00.000Z
1188584138,2024-11-30T07:00:00.000Z
1189011672,2024-11-30T06:00:00.000Z
1189057169,2024-11-30T05:00:00.000Z
1189046259,2024-11-30T04:00:00.000Z
1189016803,2024-11-30T03:00:00.000Z
1189018136,2024-11-30T02:00:00.000Z
1188992730,2024-11-30T01:00:00.000Z
1189009802,2024-11-30T00:00:00.000Z
1188988422,2024-11-29T23:00:00.000Z
1188910215,2024-11-29T22:00:00.000Z
1188755254,2024-11-29T21:00:00.000Z
1189040971,2024-11-29T20:00:00.000Z
1189058965,2024-11-29T19:00:00.000Z
1189047564,2024-11-29T18:00:00.000Z
1189076285,2024-11-29T17:00:00.000Z
1189106499,2024-11-29T16:00:00.000Z
1189122910,2024-11-29T15:00:00.000Z
1189172303,2024-11-29T14:00:00.000Z
1189180806,2024-11-29T13:00:00.000Z
1189161556,2024-11-29T12:00:00.000Z
1189107839,2024-11-29T11:00:00.000Z
1189087120,2024-11-29T10:00:00.000Z
1189061096,2024-11-29T09:00:00.000Z
1189071154,2024-11-29T08:00:00.000Z
1189388841,2024-11-29T07:00:00.000Z
1189562425,2024-11-29T06:00:00.000Z
1189556373,2024-11-29T05:00:00.000Z
1189543777,2024-11-29T04:00:00.000Z
1189521656,2024-11-29T03:00:00.000Z
1189532731,2024-11-29T02:00:00.000Z
1189444145,2024-11-29T01:00:00.000Z
1189395209,2024-11-29T00:00:00.000Z
1189383139,2024-11-28T23:00:00.000Z
1189364285,2024-11-28T22:00:00.000Z
1189301108,2024-11-28T21:00:00.000Z
1189282421,2024-11-28T20:00:00.000Z
1189307580,2024-11-28T19:00:00.000Z
1189411349,2024-11-28T18:00:00.000Z
1189415992,2024-11-28T17:00:00.000Z
1189438420,2024-11-28T16:00:00.000Z
1189425950,2024-11-28T15:00:00.000Z
1189479982,2024-11-28T14:00:00.000Z
1189462649,2024-11-28T13:00:00.000Z
1189448126,2024-11-28T12:00:00.000Z
1189462965,2024-11-28T11:00:00.000Z
1189489254,2024-11-28T10:00:00.000Z
1189524561,2024-11-28T09:00:00.000Z
1189874465,2024-11-28T08:00:00.000Z
1189864573,2024-11-28T07:00:00.000Z
